--- SUPER REALISTIC AUDIT ---
2026-01-13 13:30:00+00:00 | EUR_USD | SHORT | Raw:-1000.00 | Real:-1301.20 | SL
2026-01-15 13:30:00+00:00 | EUR_USD | SHORT | Raw:2970.00 | Real:2681.71 | TP
2026-01-16 15:15:00+00:00 | EUR_USD | SHORT | Raw:-1019.70 | Real:-1326.83 | SL
2026-01-19 00:00:00+00:00 | EUR_USD | SHORT | Raw:-1009.50 | Real:-1313.57 | SL
2026-01-20 03:25:00+00:00 | EUR_USD | LONG | Raw:2998.22 | Real:2707.20 | TP
2026-01-20 08:15:00+00:00 | EUR_USD | LONG | Raw:3088.17 | Real:2788.41 | TP
2026-01-20 13:30:00+00:00 | EUR_USD | LONG | Raw:3180.82 | Real:2872.06 | TP
2026-01-20 14:10:00+00:00 | EUR_USD | LONG | Raw:-1092.08 | Real:-1421.01 | SL
2026-01-21 08:05:00+00:00 | EUR_USD | LONG | Raw:-1081.16 | Real:-1406.80 | SL
2026-01-21 12:20:00+00:00 | EUR_USD | SHORT | Raw:-1070.35 | Real:-1392.74 | SL
2026-01-21 14:10:00+00:00 | EUR_USD | LONG | Raw:-1059.64 | Real:-1378.81 | SL
2026-01-21 15:15:00+00:00 | EUR_USD | LONG | Raw:-1049.05 | Real:-1365.02 | SL
2026-01-22 14:35:00+00:00 | EUR_USD | SHORT | Raw:-1038.56 | Real:-1351.37 | SL
2026-01-22 17:05:00+00:00 | EUR_USD | LONG | Raw:-1028.17 | Real:-1337.86 | SL
2026-01-23 08:05:00+00:00 | EUR_USD | LONG | Raw:-1017.89 | Real:-1324.48 | SL
2026-01-23 17:20:00+00:00 | EUR_USD | LONG | Raw:3023.13 | Real:2729.69 | TP
2026-01-23 18:10:00+00:00 | EUR_USD | LONG | Raw:-1037.94 | Real:-1350.57 | SL
2026-01-26 00:00:00+00:00 | EUR_USD | LONG | Raw:3082.69 | Real:2783.46 | TP
2026-01-26 07:55:00+00:00 | EUR_USD | LONG | Raw:-1058.39 | Real:-1377.18 | SL
2026-01-26 13:00:00+00:00 | EUR_USD | LONG | Raw:-1047.81 | Real:-1363.41 | SL
2026-01-26 15:45:00+00:00 | EUR_USD | LONG | Raw:3111.98 | Real:2809.91 | TP
2026-01-26 17:30:00+00:00 | EUR_USD | LONG | Raw:-1068.45 | Real:-1390.26 | SL
2026-01-26 19:40:00+00:00 | EUR_USD | LONG | Raw:-1057.76 | Real:-1376.36 | SL
2026-01-27 07:55:00+00:00 | EUR_USD | LONG | Raw:-1047.19 | Real:-1362.60 | SL
2026-01-27 09:50:00+00:00 | EUR_USD | SHORT | Raw:-1036.71 | Real:-1348.97 | SL
2026-01-27 13:00:00+00:00 | EUR_USD | LONG | Raw:3079.04 | Real:2780.17 | TP
2026-01-27 13:50:00+00:00 | EUR_USD | LONG | Raw:-1057.14 | Real:-1375.55 | SL
2026-01-27 20:45:00+00:00 | EUR_USD | LONG | Raw:3139.70 | Real:2834.94 | TP
2026-01-27 20:55:00+00:00 | EUR_USD | LONG | Raw:-1077.96 | Real:-1402.65 | SL
2026-01-28 01:20:00+00:00 | EUR_USD | LONG | Raw:-1067.18 | Real:-1388.62 | SL
2026-01-28 05:00:00+00:00 | EUR_USD | LONG | Raw:-1056.51 | Real:-1374.73 | SL
2026-01-28 08:50:00+00:00 | EUR_USD | LONG | Raw:-1045.95 | Real:-1360.99 | SL
2026-01-28 15:05:00+00:00 | EUR_USD | SHORT | Raw:3106.46 | Real:2804.93 | TP
2026-01-28 15:35:00+00:00 | EUR_USD | SHORT | Raw:-1066.55 | Real:-1387.80 | SL
2026-01-28 21:55:00+00:00 | EUR_USD | SHORT | Raw:-1055.89 | Real:-1373.92 | SL
2026-01-29 10:15:00+00:00 | EUR_USD | LONG | Raw:-1045.33 | Real:-1360.18 | SL
2026-01-29 12:55:00+00:00 | EUR_USD | SHORT | Raw:-1034.87 | Real:-1346.58 | SL
2026-01-29 13:45:00+00:00 | EUR_USD | LONG | Raw:-1024.52 | Real:-1333.11 | SL
2026-01-29 18:40:00+00:00 | EUR_USD | SHORT | Raw:-1014.28 | Real:-1319.78 | SL
2026-01-29 22:00:00+00:00 | EUR_USD | SHORT | Raw:-1004.14 | Real:-1306.58 | SL
2026-01-30 02:20:00+00:00 | EUR_USD | SHORT | Raw:2982.29 | Real:2692.81 | TP
2026-01-30 04:05:00+00:00 | EUR_USD | SHORT | Raw:-1023.92 | Real:-1332.32 | SL
2026-01-30 07:55:00+00:00 | EUR_USD | SHORT | Raw:-1013.68 | Real:-1319.00 | SL
2026-01-30 11:55:00+00:00 | EUR_USD | SHORT | Raw:-1003.54 | Real:-1305.81 | SL
2026-01-30 16:15:00+00:00 | EUR_USD | SHORT | Raw:2980.52 | Real:2691.21 | TP
2026-01-30 17:25:00+00:00 | EUR_USD | SHORT | Raw:-1023.31 | Real:-1331.53 | SL
2026-02-02 13:35:00+00:00 | EUR_USD | SHORT | Raw:3039.24 | Real:2744.23 | TP
2026-02-02 14:35:00+00:00 | EUR_USD | SHORT | Raw:-1043.47 | Real:-1357.76 | SL
2026-02-03 04:20:00+00:00 | EUR_USD | SHORT | Raw:-1033.04 | Real:-1344.19 | SL
2026-02-03 07:30:00+00:00 | EUR_USD | SHORT | Raw:-1022.71 | Real:-1330.75 | SL
2026-02-03 09:45:00+00:00 | EUR_USD | LONG | Raw:-1012.48 | Real:-1317.44 | SL
2026-02-03 15:30:00+00:00 | EUR_USD | SHORT | Raw:-1002.35 | Real:-1304.26 | SL
2026-02-04 15:30:00+00:00 | EUR_USD | LONG | Raw:-992.33 | Real:-1291.22 | SL
2026-02-06 14:35:00+00:00 | EUR_USD | SHORT | Raw:-982.41 | Real:-1278.31 | SL
2026-02-09 08:05:00+00:00 | EUR_USD | LONG | Raw:2917.75 | Real:2634.53 | TP
2026-02-09 14:10:00+00:00 | EUR_USD | LONG | Raw:3005.28 | Real:2713.57 | TP
2026-02-09 15:15:00+00:00 | EUR_USD | LONG | Raw:-1031.81 | Real:-1342.60 | SL
2026-02-10 12:50:00+00:00 | EUR_USD | LONG | Raw:-1021.50 | Real:-1329.17 | SL
2026-02-10 15:30:00+00:00 | EUR_USD | LONG | Raw:-1011.28 | Real:-1315.88 | SL
2026-02-10 16:35:00+00:00 | EUR_USD | LONG | Raw:-1001.17 | Real:-1302.72 | SL
2026-02-11 02:25:00+00:00 | EUR_USD | SHORT | Raw:-991.16 | Real:-1289.69 | SL
2026-02-11 13:30:00+00:00 | EUR_USD | LONG | Raw:-981.24 | Real:-1276.80 | SL
2026-02-11 13:40:00+00:00 | EUR_USD | SHORT | Raw:-971.43 | Real:-1264.03 | SL
2026-02-11 16:40:00+00:00 | EUR_USD | SHORT | Raw:-961.72 | Real:-1251.39 | SL
2026-02-11 21:00:00+00:00 | EUR_USD | LONG | Raw:-952.10 | Real:-1238.87 | SL
2026-02-12 02:05:00+00:00 | EUR_USD | SHORT | Raw:-942.58 | Real:-1226.48 | SL
2026-02-17 07:55:00+00:00 | EUR_USD | SHORT | Raw:2799.46 | Real:2527.73 | TP
2026-02-17 11:55:00+00:00 | EUR_USD | LONG | Raw:-961.15 | Real:-1250.65 | SL
2026-02-17 18:25:00+00:00 | EUR_USD | SHORT | Raw:-951.54 | Real:-1238.14 | SL
2026-02-18 07:30:00+00:00 | EUR_USD | LONG | Raw:-942.02 | Real:-1225.76 | SL
2026-02-18 18:45:00+00:00 | EUR_USD | SHORT | Raw:2797.80 | Real:2526.23 | TP
2026-02-19 07:40:00+00:00 | EUR_USD | SHORT | Raw:-960.58 | Real:-1249.91 | SL
2026-02-19 13:05:00+00:00 | EUR_USD | SHORT | Raw:2852.92 | Real:2576.00 | TP
2026-02-19 15:05:00+00:00 | EUR_USD | SHORT | Raw:-979.50 | Real:-1274.53 | SL
2026-02-20 15:10:00+00:00 | EUR_USD | SHORT | Raw:-969.71 | Real:-1261.78 | SL
2026-02-20 16:20:00+00:00 | EUR_USD | LONG | Raw:-960.01 | Real:-1249.17 | SL
2026-02-23 00:00:00+00:00 | EUR_USD | LONG | Raw:2851.23 | Real:2574.47 | TP
2026-02-23 08:35:00+00:00 | EUR_USD | LONG | Raw:-978.92 | Real:-1273.77 | SL
2026-02-23 15:00:00+00:00 | EUR_USD | SHORT | Raw:-969.13 | Real:-1261.04 | SL
2026-02-26 00:20:00+00:00 | EUR_USD | SHORT | Raw:-959.44 | Real:-1248.43 | SL
2026-02-26 08:25:00+00:00 | EUR_USD | LONG | Raw:-949.85 | Real:-1235.94 | SL
2026-02-27 08:05:00+00:00 | EUR_USD | SHORT | Raw:-940.35 | Real:-1223.58 | SL
2026-03-02 00:00:00+00:00 | EUR_USD | LONG | Raw:-930.95 | Real:-1211.35 | SL
2026-03-02 01:10:00+00:00 | EUR_USD | SHORT | Raw:-921.64 | Real:-1199.23 | SL
2026-03-02 06:25:00+00:00 | EUR_USD | SHORT | Raw:2737.26 | Real:2471.56 | TP
